ATPex_fap,ATPex_srb,ATPex_syn,CO2ex_gen,H2Sex_gen,H2ex_gen,H2pool_gen,NH3_syn,O2expool_gen,PHB_fap,SO4ex_gen,ac_pool,bm_fap_srb_syn,glycpool_gen,glyox_syn,hv_gen,polyglcex_gen
4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-8.0,0.0
0.0,0.0,0.0,-4650711656.0,0.0,0.0,-11906816306.0,-4802026419.0,0.0,0.0,0.0,-3068023387.0,383763000.0,-3432402259.0,0.0,-44959704402.0,0.0
0.0,0.0,0.0,227385110.0,38560320.0,0.0,0.0,-4504680.0,0.0,60260948.0,-38560320.0,-5558640.0,360000.0,-241043792.0,0.0,-67108783.0,1369567.0
0.0,0.0,0.0,984002.0,0.0,0.0,0.0,-2327418.0,0.0,0.0,0.0,-4354308.0,186000.0,-2368834.0,0.0,-31907379.0,651171.0
15495534945.0,0.0,0.0,0.0,11855156160.0,0.0,-57363783800.0,-2248260762.0,0.0,2066071326.0,-11855156160.0,0.0,179674000.0,-8264285304.0,0.0,-27150070419.0,0.0
0.0,0.0,0.0,18.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,-61.0,1.0
0.0,4613379.0,0.0,0.0,6151172.0,0.0,0.0,-12012480.0,0.0,0.0,-6151172.0,-44613968.0,960000.0,22535888.0,0.0,-461985704.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-3229858.0,-750780.0,-1679579.0,0.0,0.0,-1379880.0,60000.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-2031519.0,-563085.0,-669072.0,0.0,0.0,-295020.0,45000.0,-790350.0,0.0,-824180.0,16820.0
0.0,0.0,0.0,0.0,443405119680.0,0.0,0.0,-377022621162.0,1200814974151.0,0.0,-443405119680.0,0.0,30130474000.0,-692940641052.0,0.0,-11250444877019.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43497590496.0,-3745596880.0,0.0,0.0,-79945463616.0,3476192000.0,0.0,0.0,-526276297603.0,0.0
