ATPex_fap,ATPex_srb,ATPex_syn,CO2ex_gen,H2Sex_gen,H2ex_gen,H2pool_gen,NH3_syn,O2expool_gen,PHB_fap,SO4ex_gen,ac_pool,bm_fap_srb_syn,glycpool_gen,glyox_syn,hv_gen,polyglcex_gen,dG
0.0,0.0,0.0,984002.0,0.0,0.0,0.0,-2327418.0,0.0,0.0,0.0,-4354308.0,186000.0,-2368834.0,0.0,-31907379.0,651171.0,-762.8610627903284
15495534945.0,0.0,0.0,0.0,11855156160.0,0.0,-57363783800.0,-2248260762.0,0.0,2066071326.0,-11855156160.0,0.0,179674000.0,-8264285304.0,0.0,-27150070419.0,0.0,-474.7445933857653
0.0,0.0,0.0,18.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,-61.0,1.0,-32.31089057688862
0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,4.0,-57.0,0.0,5.939711348769457
0.0,4613379.0,0.0,0.0,6151172.0,0.0,0.0,-12012480.0,0.0,0.0,-6151172.0,-44613968.0,960000.0,22535888.0,0.0,-461985704.0,0.0,-317.7358297098893
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,17.0,0.0,19.0,0.0,-53.0,0.0,-304.0,0.0,30.382901917597753
0.0,0.0,0.0,0.0,0.0,0.0,-3229858.0,-750780.0,-1679579.0,0.0,0.0,-1379880.0,60000.0,0.0,0.0,0.0,0.0,-1469.6077638497416
0.0,0.0,0.0,0.0,0.0,0.0,-2031519.0,-563085.0,-669072.0,0.0,0.0,-295020.0,45000.0,-790350.0,0.0,-824180.0,16820.0,-1470.5469170828358
0.0,0.0,0.0,0.0,443405119680.0,0.0,0.0,-377022621162.0,1200814974151.0,0.0,-443405119680.0,0.0,30130474000.0,-692940641052.0,0.0,-11250444877019.0,0.0,-327.4945564988712
0.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,450.0,120.0,-195.0,-513.0,0.0,0.0,0.0,-4459.0,91.0,12.886807059688905
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43497590496.0,-3745596880.0,0.0,0.0,-79945463616.0,3476192000.0,0.0,0.0,-526276297603.0,0.0,-912.8679492870544
344970.0,0.0,0.0,0.0,0.0,0.0,0.0,-25026.0,20843.0,0.0,0.0,0.0,2000.0,-45996.0,0.0,-787027.0,0.0,-1066.1913011156919
