M_ATPex,M_CO2ex,M_H2ex,M_NH3ex,M_bm,M_hv,M_O2ex,M_PHB,M_SO4ex,M_H2Sex,M_polyglcex,objective
5.101990000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,-1.501560000000000000e+05,1.200000000000000000e+04,-3.093120000000000000e+06,3.866400000000000000e+05,2.408800000000000000e+04,-1.532440000000000000e+05,1.532440000000000000e+05,0.000000000000000000e+00,1.200000000000000000e+04
2.576910000000000000e+05,1.927040000000000000e+05,0.000000000000000000e+00,-3.003120000000000000e+05,2.400000000000000000e+04,-2.225952000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,-2.824400000000000000e+04,2.824400000000000000e+04,0.000000000000000000e+00,2.400000000000000000e+04
0.000000000000000000e+00,4.139024000000000000e+06,1.404228000000000000e+06,-6.381630000000000000e+05,5.100000000000000000e+04,-1.944312000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,-1.340630000000000000e+06,1.340630000000000000e+06,0.000000000000000000e+00,5.100000000000000000e+04
1.800000000000000000e+01,1.000000000000000000e+01,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.400000000000000000e+02,3.000000000000000000e+01,0.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.800000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.119993600000000000e+07,0.000000000000000000e+00,-3.340971000000000000e+06,2.670000000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,7.942440000000000000e+05,-1.262913800000000000e+07,1.262913800000000000e+07,0.000000000000000000e+00,2.670000000000000000e+05
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.251300000000000000e+04,1.000000000000000000e+03,-2.095840000000000000e+05,2.619800000000000000e+04,0.000000000000000000e+00,-1.076300000000000000e+04,1.076300000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+03
0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,-8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.200000000000000000e+01,9.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.400000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.569490000000000000e+05,3.206080000000000000e+05,0.000000000000000000e+00,-6.757020000000000000e+05,5.400000000000000000e+04,-5.516784000000000000e+06,0.000000000000000000e+00,2.824400000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.400000000000000000e+04
0.000000000000000000e+00,8.383360000000000000e+05,0.000000000000000000e+00,-1.501560000000000000e+05,1.200000000000000000e+04,-2.769270000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,-3.387400000000000000e+05,3.387400000000000000e+05,0.000000000000000000e+00,1.200000000000000000e+04
9.633100000000000000e+04,-8.610400000000000000e+04,0.000000000000000000e+00,-2.502600000000000000e+04,2.000000000000000000e+03,-6.774800000000000000e+05,8.468500000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+03
0.000000000000000000e+00,1.459100000000000000e+06,7.799490000000000000e+05,-7.507800000000000000e+04,6.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.293530000000000000e+05,4.293530000000000000e+05,0.000000000000000000e+00,6.000000000000000000e+03
0.000000000000000000e+00,3.607606000000000000e+06,0.000000000000000000e+00,-1.501560000000000000e+05,1.200000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.446448000000000000e+06,1.446448000000000000e+06,2.769270000000000000e+05,1.200000000000000000e+04
